ticket_id,customer_id,ticket_category,priority,status,opened_date,resolved_date
0000b445-be90-4185-b56d-30c748e77320,21edcf52-37fa-44c4-88f8-2411f260739b,Complaint,Medium,Pending,2025-08-28,
000169fa-eb89-404d-910f-4dfe12f529ed,670bff1d-fa89-4421-bb4f-e9c9b2003dd4,Order Issue,High,Resolved,2025-04-23,2025-05-21
0007b92c-338d-4737-bb5d-75105f619b14,ce5d09a3-8119-4159-8f89-cee30a0308d7,Technical Support,Low,Open,2024-04-11,
0007f8c9-b95f-4f99-9bd7-54aad771a494,852e12b3-7767-4649-8824-5deef210aa3f,Technical Support,Low,Resolved,2025-07-09,2025-08-08
000c73d3-f126-46b1-a8cd-f0bfee43ea51,9f7ec1d3-c1c1-452a-8ab9-7358022693dc,Technical Support,High,Resolved,2024-06-30,2024-07-06
0019a0c8-5af9-4f20-b23d-fb291efe2eab,bbc0d2d6-18cc-45dd-9a07-8ce038db1318,Order Issue,High,Open,2024-02-25,
0025aa62-8c97-4196-a42f-b322a8b3849f,f4a7b013-a038-4763-bdda-7e0abbdeb720,Technical Support,High,Resolved,2023-11-24,2023-12-16
002db894-5dd7-4ecb-9202-035683a1c91d,23b61c32-85b0-4cfa-804c-e07425dbcca0,Complaint,Medium,Resolved,2025-03-22,2025-04-01
002e235d-e1bf-46f1-adea-11eee66d171a,57286352-a01f-45c5-8691-cb7b15436912,Technical Support,Medium,Pending,2024-12-16,
0036186c-13b2-4b9e-a018-f0663fb1324c,c3a3335a-6b14-401c-be77-2b1fe2f93341,Product Inquiry,High,Open,2024-02-26,
0039be1f-0408-4bd3-80f3-1fa5d608bca2,cca47b9b-689b-4460-bcd2-c799c262c206,Payment Problem,Low,Open,2024-03-26,
0045adce-5f8b-4fe0-a362-a0e41e1f59aa,7cb2b838-53b3-4f10-9a25-18b0cb7d7b97,Product Inquiry,Medium,Open,2024-05-04,
00475431-6993-4ef8-8e17-d6fbd98c299a,dc04e8f7-7304-4ff7-a031-ba7a9cd3db92,Technical Support,High,Pending,2024-05-19,
004795ce-fa7b-4cde-bef9-cc576911f647,0e995548-9ef3-49fd-9494-b556cb31867b,Product Inquiry,High,Resolved,2024-12-08,2024-12-29
004dba66-7b80-4159-8d6c-76c4c10809c9,b9414a18-560c-4b8e-b7ef-749f9500eb3e,Product Inquiry,High,Escalated,2025-04-30,2025-05-23
005efec3-8bce-4493-9728-3dd2fba14672,ca816459-5e68-4c7b-8242-7fd3f4cd44be,Order Issue,High,Escalated,2023-12-05,2023-12-06
00686782-dd91-4d3c-8439-125b0463d7e2,475ea740-7216-4adb-8a26-b2e20b7c9947,Order Issue,Medium,Escalated,2025-05-06,2025-05-10
006ac3eb-b23e-49d1-a223-45e845cb5b4f,2949a6d3-e832-4705-95c4-82f40798486f,Payment Problem,High,Escalated,2024-03-13,2024-04-01
00720562-3a6a-4f15-90b4-2c70434c362e,d9d0ab2e-83c7-4903-bb1b-2a481cdf4b41,Order Issue,Medium,Resolved,2024-11-02,2024-11-25
007489ec-400c-4cda-a62f-dc60eb4990f5,7cb2b838-53b3-4f10-9a25-18b0cb7d7b97,Complaint,Medium,Pending,2024-08-09,
007a2cf0-e24d-4b4d-8489-f01f69c74aa8,28765fc5-8d89-4e80-9511-62406924d80d,Order Issue,High,Open,2025-07-18,
008c2b57-f985-4578-a415-738754777f2e,ac1d6174-8287-4a51-955b-6d49992e0606,Technical Support,Medium,Escalated,2024-11-27,2024-12-27
008f2711-0125-4907-8304-2278e564d37a,8934f0d1-21d1-40d8-8cd0-0398025d7533,Product Inquiry,High,Open,2024-09-03,
009682c8-20dc-438c-b7ad-476813f50b8d,80ab618b-6dd4-40f3-806d-c18c07d5dba7,Payment Problem,Low,Pending,2024-06-05,
00984e31-c30c-4348-92f3-6a0231fedf66,d5214155-2dc2-499a-b90b-a366d1d8c6f4,Payment Problem,High,Resolved,2024-08-13,2024-09-02
00a1bdf7-4350-4307-88c6-5ffc6521f7f2,f5946043-78bd-422f-88af-c71eb54f32bf,Complaint,High,Pending,2025-03-16,
00ab841a-a354-4936-8788-ba2c3a21634b,475ea740-7216-4adb-8a26-b2e20b7c9947,Complaint,Medium,Resolved,2024-05-15,2024-06-12
00b1d1a5-8771-424d-8dcd-2ba84e722eff,b5f3f7a1-e285-4b21-9f30-feb1db423af4,Technical Support,Low,Open,2025-01-16,
00b3db23-5be8-4fc4-887e-0c39ab944cc6,01b70b01-be35-4522-81ef-ff528404ed99,Product Inquiry,Medium,Pending,2025-06-19,
00b78e2d-56fd-43a8-94a1-0e6b9c6dbe00,7529b80b-5107-48e0-8eee-f1e33f9235cd,Complaint,High,Pending,2023-12-27,
00b9548a-d755-42c7-af4f-b6c819fcf13f,97959738-09d2-4d5b-a8f5-8b8c37b9a102,Technical Support,Low,Open,2025-07-17,
00ba6a6f-6abf-4341-9cfe-e0ed7ead679f,f540c0ba-245b-4ca0-83f8-cf020fec696c,Technical Support,High,Escalated,2024-11-09,2024-11-30
00beab43-b13f-4301-9a3e-7ee808644704,9186fdca-80dc-4632-85b6-5843e158ff56,Order Issue,Medium,Pending,2023-12-21,
00c7508d-b6ba-4db1-a7b2-befeb5d62ac5,65ad8714-4393-4ee3-a041-29d084f1a7e9,Payment Problem,Low,Escalated,2025-07-09,2025-08-07
00ca1858-6a57-488d-bc53-321f37793e1e,fef104a3-5084-4395-9735-fa9c69fc40db,Payment Problem,Low,Open,2023-12-18,
00cac7f2-9a32-459c-94a2-9ce9b4afff64,b1888a77-837b-47ba-81b3-3cdabd8eb255,Order Issue,High,Pending,2024-09-16,
00d0b6d7-4581-4ac5-b5b5-a4791310b877,423be384-23b6-4460-8ef1-5a4bb77641ab,Complaint,Low,Escalated,2025-06-17,2025-06-21
00d703d7-3233-4556-8b57-4a2f73d13568,926ae8d1-a61f-45e8-bfa1-003216ea7c94,Payment Problem,High,Escalated,2024-07-30,2024-08-04
00da61fd-a903-4a4b-b6e3-a481e2257c75,9144e4ae-09e3-4955-9f69-ea7bd571ceff,Payment Problem,Low,Pending,2024-10-10,
00e0bf51-e86a-4c9c-b6db-b063989d037d,508428ba-e7b1-4318-b64a-78d0f23e4bd5,Technical Support,Low,Escalated,2025-06-07,2025-06-09
00e1b3ba-4d45-4728-9051-fe68aac6964d,a79dd07c-460d-4b2d-8908-47ca3871f092,Order Issue,Low,Open,2023-10-30,
00ec0199-3bbb-46a6-af42-c1ff6a098f17,4e6689ef-9ff5-4f81-aa1f-1476bbeb3e45,Payment Problem,Medium,Open,2025-05-12,
00ee772b-a990-4b91-a768-1ac91f4c1abf,83c4e613-80e5-43c9-b446-91eeb080864f,Order Issue,High,Resolved,2023-10-24,2023-11-19
00f41e5a-a249-42e4-9605-de42b93a5e9b,dcf780ef-5f7b-4a4c-a327-072248d2306f,Complaint,High,Open,2025-02-01,
00f62101-5254-47f4-ad34-c93b62d9d27d,640fb11d-56f3-4f16-9c21-117123980c2d,Payment Problem,Medium,Escalated,2025-07-01,2025-07-09
00ff8f03-51ff-443d-a60d-331664436099,909c4e5d-3d07-4491-94d3-e2e95e156ff0,Product Inquiry,Medium,Resolved,2024-01-23,2024-02-12
01008135-c4bd-4388-8179-b733841a10b8,f9631033-c20f-4f90-b6cf-f82c21f87e00,Technical Support,Low,Pending,2025-06-24,
01044aed-c9d6-4853-96b2-9f67f2c390ea,1b2d706a-62ef-432d-989b-4342e3ccc46d,Technical Support,Medium,Open,2023-10-10,
01061e1e-f69d-45b0-acd1-71bac1b71e0d,f9a2fe54-58a3-4b86-9213-82c9a804821d,Payment Problem,Medium,Escalated,2024-10-17,2024-10-27
0106b008-82ee-41ae-b712-338a2ceb7fe7,6040d244-4401-4450-8415-773ccfcd0616,Technical Support,High,Escalated,2023-12-30,2024-01-03
010b6bfa-a992-479b-a980-b5f6f3c23c6e,39c203d1-e5ef-4e11-82c0-aa6044153e7c,Product Inquiry,High,Pending,2024-06-04,
010d92f5-e7a3-449b-a3cd-07e87ad9b0b1,61e2c6e6-874f-4a5c-bbf9-5c558a22c149,Complaint,High,Escalated,2024-11-20,2024-12-14
01159dbf-4ba9-473a-b959-5d24430cabea,5d04b6c3-4157-42bd-a387-d6374e59c28a,Order Issue,High,Resolved,2024-08-31,2024-09-18
0117d623-b0be-4ca0-9c6d-3994d9bf32eb,e60e5895-3c98-45d5-bdad-f102d24d73c1,Technical Support,High,Resolved,2025-06-24,2025-06-27
011b37d0-b409-47aa-8ed2-856ef5001682,28c9c376-53da-49d9-8d10-bf2127b08c4e,Payment Problem,High,Escalated,2024-10-12,2024-10-15
0121ad69-3ee9-43c4-ad12-cc55ec11c1fc,b6afc64d-b7b9-43f9-8f85-c2a3f597551d,Order Issue,Low,Pending,2024-10-23,
013516eb-cabb-4e20-96d6-b63a2a63d595,d21193e4-4d82-4767-9970-63968ff409e5,Product Inquiry,High,Resolved,2024-08-21,2024-09-14
013b8988-f365-4045-be06-90725da97661,a88f27a6-f2ae-4178-a6de-1ed5fba505ed,Complaint,Low,Pending,2025-07-21,
013dc213-c730-462e-b415-f5d239fba148,ca816459-5e68-4c7b-8242-7fd3f4cd44be,Payment Problem,Low,Open,2025-01-02,
0146f3b0-de3a-432f-86b8-987d6883f127,1a885561-2b47-42ad-9b90-6717441cade1,Payment Problem,Low,Open,2025-02-28,
014eab22-8dcd-4fac-9f30-067f960eb746,5a7fa59b-a9d6-49d7-b7b6-6a9cb6ba4ef4,Technical Support,Medium,Open,2025-03-03,
01584dda-c05e-460b-9365-07e580cda17d,ca4f324b-4d7b-4829-9c2d-7a60141d0820,Complaint,High,Resolved,2023-10-19,2023-11-13
0158edd3-0ded-415f-853e-1f921e2f3dbc,bb797d6d-d25f-4569-8181-b66fc07d8f6b,Product Inquiry,Low,Resolved,2024-09-04,2024-09-14
0168420d-b3f3-4294-86d6-0e21f6427899,0d3278c9-6203-4550-973c-69324ddbd366,Complaint,Low,Pending,2024-05-16,
016b7e2d-06c5-4a3f-950d-ac06cbcf3b78,6744faaf-ceb1-46c2-be63-4fd88cbc11f0,Technical Support,Medium,Resolved,2024-04-16,2024-05-01
0171736e-5569-4892-ad5e-6b10d5384fa3,d7f67696-932e-40ed-a7ec-acb24e2699f4,Technical Support,High,Pending,2025-07-04,
01739086-f7d8-4fa7-a3cc-fa3c967b7a24,45fa4425-29b4-422d-afa0-ee4f5ca983ca,Order Issue,Medium,Resolved,2024-03-13,2024-03-28
0177d8d3-d24d-4b40-8f3c-3677e5ff6a14,c49c2564-68dc-4a96-adc0-7f1e32e94065,Order Issue,High,Open,2025-04-07,
017b2d48-7194-4298-a34d-708cf4682700,ef21114b-e52a-4adb-9c32-30c67b8fc2a8,Complaint,Low,Open,2025-05-11,
017fc415-b91a-45ce-b480-ef1dac1b13a5,e3c915f9-f430-410f-bb87-dd8b2a0d6f18,Order Issue,Low,Pending,2025-08-24,
01855b96-da1d-44da-8c63-3e80e0c3ecad,e01c1813-3b22-44c0-975c-f787da3de1d9,Product Inquiry,Medium,Escalated,2025-01-04,2025-01-17
0187fa0c-6934-4884-b761-f6dafbee359f,9da961d6-e9e7-484a-b61b-1e556a2a92be,Complaint,High,Resolved,2023-10-29,2023-11-17
01891661-d7bb-49ab-b41d-93c7547aeaa0,57f8576a-c7a6-4710-9e34-6e11957886c7,Product Inquiry,Medium,Resolved,2024-03-28,2024-04-07
018a665b-e5dd-4064-8bcc-024b6e47d180,66b14117-f05c-4e94-ba28-3f1f7340dfb9,Product Inquiry,Medium,Resolved,2025-07-16,2025-07-31
01987d36-b8df-47d9-8314-59509ed2309a,6c04f340-d9c6-41f6-a16c-60d10b55b78a,Technical Support,Medium,Open,2024-01-09,
01990c9c-6211-432e-9070-747e8cb146ef,4d0b98ce-5a31-43a2-89be-1e316e2c724f,Complaint,Low,Pending,2024-08-18,
