session_id,customer_id,activity_type,product_id,timestamp
00008eb3-6181-439c-8490-08ed523da809,4c067e66-2c4b-4151-9dad-6e970d24a15c,Remove from Cart,P0387,2025-05-08
000422a9-7692-45d2-8b72-6aed9d5d723c,66abc817-2fd3-48f8-93ff-d0f9e1ed4b13,Search,Unknown_Product,2025-02-06
00045362-c8c4-4425-b673-0302fed742a9,76d930da-f9e0-4c00-bc9b-920d91435fed,Add to Cart,P0477,2025-05-09
000562cf-aeae-40ab-82bc-0905e38d4fa2,12510fae-fca5-48de-8429-9630f9d72373,Page View,P0064,2025-06-28
000c8b5e-6a45-4315-b4dd-497da038906c,2441fe56-68c5-44d4-9575-50a5963d7632,Cart View,Unknown_Product,2025-07-01
000cbca9-636c-4f74-9058-0c13d1f774cc,a4c485d1-2188-422a-9280-72554cff3281,Remove from Cart,P0373,2023-11-30
000d8ef4-9b21-4d15-860a-c19cd52a50cb,6fadfefb-a4fd-47fb-bde5-dc67da98f50f,Search,P0263,2025-07-15
000f5192-263b-4917-a269-7be14dbadfd4,ee338c24-7d0f-4fc4-95e6-c2b9d5158cec,Search,P0256,2024-04-18
0010979b-2c23-47b7-94e6-ae75a2c090c5,a267fc10-74b0-423a-bbf7-5aa628967870,Add to Cart,P0353,2025-08-30
00111576-e99e-4bce-892f-3d5695b2cb4a,aaea2247-b5ac-4d84-b68b-f8952bb9c9aa,Page View,Unknown_Product,2024-07-26
00118210-37cf-4377-a6c8-0204d910cabf,d360ebf0-5828-4efb-82a0-3b6c1a345654,Add to Cart,P0420,2025-04-19
00174f62-6921-487d-935d-131b6541852d,4dcfc47a-f38f-4ce2-b838-9fa8c1d9b781,Product Click,P0194,2025-05-16
00183b5c-d43a-4c19-bab3-f1521a4f2aa5,f08ed1fa-2843-4b33-a9c2-d6c1b15356e9,Page View,P0007,2025-04-15
001a38a4-1148-4e48-a40d-0d2c387456ee,72c7d207-2904-4d83-babc-4626084da889,Page View,Unknown_Product,2023-09-24
001b953d-27a9-4e52-9346-52ccf9742688,2192b0fd-1a67-4e04-93b0-38156b0adb38,Remove from Cart,P0412,2025-01-25
001c64a8-5fe6-42cc-ac6a-a714478c32fd,8fca0bd6-7bb7-4469-890c-74cd5871b651,Product Click,Unknown_Product,2025-08-18
00207d33-53ba-4223-91dd-9f1c85006095,3ae576ad-fa2f-4d98-a2cf-cce897a9a69d,Remove from Cart,P0407,2025-07-22
00258ee5-9a7e-4982-ae53-eb301dbe73ac,63ffe98a-cd8a-41ff-ae9f-0d64e0a913c3,Add to Cart,P0347,2025-08-01
0027aba7-fce7-44d7-9e00-c801a47bd1d5,0c83672e-80f1-45cc-8414-27e772c17357,Product Click,P0497,2024-06-23
00295644-e297-4ebc-a78d-5c1e76497887,42075f1e-e477-4dd1-a0b7-d9a1851b3d1a,Add to Cart,P0081,2024-10-14
002b6b9d-ee3f-414e-b795-d5b58b2dd8f4,ae0fd608-11f4-4aa9-925c-be6f27173ac7,Cart View,P0164,2024-11-18
002bd062-919d-4917-b72e-8b9eb1110a97,93383710-9d0a-47ab-9f5c-c6b12f64523e,Remove from Cart,P0430,2025-02-11
00305bb5-49f3-4f06-8d6a-e2d24bb2e10d,89cc704a-fbbe-4432-8f2b-cfe3f78de2bd,Remove from Cart,P0361,2024-07-20
0035977c-6a81-4fac-8ce0-75187fff044d,553029e5-241e-4c6a-b919-473809c2fbf9,Product Click,P0166,2024-06-06
0036b175-1949-407f-8313-5e92bc7d0761,8147ba14-984a-4925-8f87-dfd5d69f0e0f,Add to Cart,Unknown_Product,2025-07-06
00376ad7-022a-4119-91d2-3bf87f3cdf6a,2b1b8409-8128-457d-af8e-2a7828610204,Page View,P0121,2024-11-17
0037b7b0-ea0c-4ff6-b15a-d998c711f9b9,cb1b89e6-64b3-4b0e-9734-6f51c1ced839,Page View,Unknown_Product,2024-09-29
0039285d-c078-4e01-b72a-6b6cb51e2f43,ec22da07-d508-41ab-a3d4-d9caa95cb00f,Product Click,P0324,2024-09-22
